hhnum,0.25 mi,0.50 mi,1.0 mi,2.0 mi,5.0 mi,10.0 mi,15.0 mi,30.0 mi,0.25 mi_ff,0.50 mi_ff,1.0 mi_ff,2.0 mi_ff,5.0 mi_ff,10.0 mi_ff,15.0 mi_ff,30.0 mi_ff,nearsnap_dist,nearsnap_stype,nearff_dist,inchhavg_r
110501,0,0,5,7,12,147,315,495,0,0,0,2,2,49,116,131,0.51,CS,1.3,4229.66
110504,0,4,9,41,177,696,1124,1867,2,5,6,31,136,510,819,1477,0.26,CS,0.11,4727.47964564405
110515,7,29,93,359,1091,2947,4352,6944,1,13,32,90,428,675,999,1575,0.19,CS,0.2,2191.71898376171
110519,0,0,0,0,16,59,110,797,0,0,0,0,4,26,57,110,2.51,CS,4.27,2285.0
110526,0,1,6,37,113,590,1153,2122,0,2,3,18,63,399,818,1724,0.42,SM,0.43,3780.0
110528,0,0,7,47,83,90,97,161,0,0,5,24,53,56,56,56,0.58,CO,0.92,831.0
110529,0,2,14,60,278,973,2476,7516,0,0,6,31,181,187,276,1350,0.48,CS,0.54,4426.662
110532,2,3,10,45,227,669,1010,2368,1,2,5,37,161,446,659,736,0.17,SM,0.23,2400.0
110544,0,3,7,20,134,418,738,980,0,2,6,15,102,313,419,439,0.41,CO,0.41,8000.0
110547,0,1,7,35,63,90,123,277,0,2,7,12,36,44,51,53,0.41,CS,0.41,11132.5
110549,22,84,276,817,3812,9192,11771,14997,0,5,14,30,235,419,428,428,0.06,SG,0.37,2204.80385009793
110550,0,1,6,31,223,676,795,948,0,0,6,22,156,378,434,439,0.45,CO,0.7,2760.33
110552,0,0,0,3,40,78,115,402,0,0,0,2,29,56,74,212,1.42,CO,1.21,5040.0
110556,4,16,42,109,396,975,2123,5783,0,2,14,54,242,473,903,1366,0.08,BB,0.47,2600.0
110561,1,1,3,43,136,554,1006,1781,1,1,1,22,84,194,196,196,0.16,CS,0.11,1330.0
110575,0,0,0,3,12,38,103,1128,0,0,0,14,18,43,119,793,1.54,CO,1.6,25650.0
110579,0,0,5,49,131,555,995,1772,0,0,4,26,86,194,196,196,0.6,CS,0.5,2348.0
110586,0,0,0,1,16,46,191,428,0,0,0,0,11,30,109,148,1.91,CS,2.36,929.0
110589,0,0,0,2,26,160,460,4454,0,0,0,6,25,67,138,199,1.82,SM,1.58,6300.0
110604,1,3,22,63,249,702,1058,1573,1,1,5,7,87,239,412,573,0.09,CS,0.1,0.0
110611,6,31,60,138,708,6200,10588,15095,0,7,10,20,101,180,180,180,0.07,SG,0.29,2500.0
110618,2,7,26,57,271,561,779,964,0,0,7,15,90,251,416,439,0.03,CS,0.75,3800.0
110625,0,3,11,26,114,251,588,1595,0,4,15,22,69,122,196,196,0.34,DR,0.4,7280.0
110635,0,0,1,3,10,59,92,203,0,0,3,4,19,49,52,78,0.89,CO,0.66,3000.0
110640,4,9,39,119,459,725,917,1048,0,0,11,21,93,238,325,345,0.06,CS,0.57,1086.0
110646,1,5,16,33,138,657,1419,2902,2,4,11,30,155,734,1161,1478,0.12,CS,0.1,2441.67628627981
110648,0,0,0,0,0,24,93,510,0,0,0,0,0,15,54,69,5.71,CO,6.82,5251.0
110652,1,10,19,58,123,218,396,2268,2,3,6,36,100,154,248,352,0.21,SG,0.13,1200.0
