hhnum,0.25 mi,0.50 mi,1.0 mi,2.0 mi,5.0 mi,10.0 mi,15.0 mi,30.0 mi,0.25 mi_ff,0.50 mi_ff,1.0 mi_ff,2.0 mi_ff,5.0 mi_ff,10.0 mi_ff,15.0 mi_ff,30.0 mi_ff,nearsnap_dist,nearsnap_stype,nearff_dist
101346,0,1,7,15,85,645,1650,4239,0,0,2,10,78,254,429,552,0.43,CO,0.88
101347,1,1,1,5,74,234,412,694,0,0,0,0,1,1,2,3,0.17,CS,3.06
101351,1,1,2,10,72,243,322,366,0,0,0,11,40,63,68,81,0.12,CS,1.58
101354,5,14,17,66,273,543,651,1330,5,7,13,43,175,450,545,640,0.09,CO,0.16
101359,0,0,1,6,22,30,63,246,0,0,0,0,0,1,10,34,0.84,MG,9.94
101362,0,2,4,5,5,12,17,304,0,2,7,7,7,11,14,21,0.38,CO,0.34
101369,4,7,12,33,41,43,60,103,0,1,4,12,13,13,15,21,0.15,CO,0.38
101371,0,1,3,36,157,593,1031,1790,0,0,2,20,85,182,196,196,0.47,LG,0.73
101372,1,2,6,33,62,90,123,275,2,4,7,12,33,44,51,53,0.23,CS,0.23
101373,9,24,86,191,336,1084,2627,6558,3,17,24,40,160,287,298,1244,0.09,SG,0.2
101374,0,1,4,38,82,281,313,429,0,1,3,27,55,191,201,221,0.44,CS,0.43
101375,0,0,0,0,0,19,24,100,0,0,0,0,0,11,11,21,7.66,CS,8.56
101379,0,6,8,21,29,78,278,588,0,4,4,13,20,24,33,69,0.27,CO,0.29
101385,0,1,6,20,55,194,465,742,0,0,3,20,23,60,68,80,0.36,CO,0.77
101386,3,21,41,92,165,309,1131,2299,4,7,16,31,80,84,118,299,0.12,SS,0.18
101389,0,0,1,6,11,45,115,653,0,0,0,2,3,26,33,52,0.57,CS,1.23
101396,0,2,5,18,152,248,305,378,0,0,1,12,101,165,204,221,0.27,CS,0.68
101399,0,0,0,13,81,284,805,2188,0,0,0,15,56,165,207,215,1.14,CO,1.1
101400,0,1,2,4,22,79,202,423,0,0,0,1,3,49,142,212,0.3,SS,1.48
101405,0,0,5,9,18,154,295,359,0,0,2,14,35,60,68,76,0.6,CS,0.99
101411,0,1,9,34,178,663,896,2052,0,1,13,35,69,102,144,215,0.41,SS,0.4
101417,0,0,0,3,22,154,415,851,0,0,0,3,21,76,248,518,1.38,CS,1.48
101419,0,1,3,5,10,37,97,607,0,1,2,3,3,20,36,53,0.5,CS,0.41
101426,0,1,1,2,37,76,109,392,0,0,0,1,11,46,61,208,0.48,CO,1.84
101431,1,4,25,45,138,648,1209,2132,0,1,10,20,69,441,851,1725,0.24,SS,0.25
101442,1,4,10,31,183,637,1184,2476,1,4,13,26,219,562,1012,1478,0.24,CS,0.18
101449,3,11,34,116,796,2010,2933,4643,4,15,39,89,326,663,880,1047,0.03,CO,0.03
101450,4,6,8,23,247,418,684,4180,6,8,8,11,42,90,137,185,0.15,SE,0.15
101451,0,0,0,0,8,60,95,412,0,0,0,0,0,21,50,206,2.48,FV,5.45
101456,2,6,12,33,41,43,60,103,0,1,2,13,13,13,15,21,0.06,CS,0.26
101459,0,1,1,2,3,12,21,135,0,0,0,0,0,0,0,30,0.43,CS,15.53
101460,1,1,7,18,68,87,93,150,0,0,2,18,69,74,74,77,0.13,CS,0.77
101469,1,4,4,4,47,200,776,4419,1,6,6,6,32,79,162,199,0.23,CO,0.25
101478,0,0,3,20,71,96,125,310,0,0,0,22,44,48,50,53,0.57,CS,1.09
101481,0,2,15,77,374,1110,2069,6986,0,1,13,52,303,662,831,1057,0.44,CS,0.36
101492,0,0,3,13,33,103,122,329,0,0,2,6,32,50,50,53,0.76,SM,0.82
101494,0,0,0,0,26,157,445,4476,0,0,0,2,24,65,134,199,2.04,SM,1.81
101498,0,3,6,12,15,17,46,214,0,6,8,10,10,10,10,22,0.28,SS,0.27
101499,1,3,13,32,133,442,989,2811,0,1,5,19,115,204,356,869,0.17,CS,0.39
101500,0,2,10,17,71,189,217,518,0,0,7,24,55,118,123,137,0.43,SM,0.61
101501,0,2,9,21,32,33,35,39,1,4,15,19,19,19,19,19,0.34,CO,0.21
101502,0,0,0,6,29,59,83,244,0,0,0,2,14,29,29,31,1.56,CS,1.28
101503,0,2,12,44,133,641,1195,2127,0,1,4,19,70,438,844,1725,0.41,CO,0.46
101519,0,0,0,0,17,23,40,242,0,0,0,0,10,10,13,30,2.49,SG,3.04
101521,0,0,0,0,0,10,13,55,0,0,0,0,0,2,2,3,8.57,SS,9.39
101523,0,2,9,25,136,459,957,1816,0,0,0,2,37,103,177,196,0.28,CO,1.42
101524,0,0,0,4,9,29,49,269,0,0,0,0,1,8,17,32,1.04,CS,4.93
101525,0,0,2,11,30,210,759,2571,0,0,4,15,51,222,507,736,0.6,CO,0.57
101530,0,9,16,66,265,544,651,1333,2,6,12,43,170,451,546,640,0.26,SM,0.24
101531,8,8,11,13,13,16,26,37,5,5,5,5,5,5,5,5,0.05,CO,0.05
101537,2,11,23,71,235,478,598,914,0,2,6,37,156,353,483,589,0.14,CS,0.38
101541,2,5,16,47,237,820,1579,6084,1,3,16,61,226,754,856,1057,0.09,CS,0.14
101542,0,0,0,0,8,23,176,1027,0,0,0,0,3,9,121,355,3.86,CO,3.94
101543,0,0,2,17,100,154,163,228,0,0,0,18,85,123,126,131,0.5,CS,1.43
101552,1,2,9,26,82,205,295,1266,0,1,6,23,58,123,127,130,0.22,CO,0.38
101557,0,0,3,31,146,553,1015,1753,0,0,2,32,80,173,195,196,0.85,CS,0.73
101559,0,0,1,18,109,287,598,3116,0,1,1,14,63,97,187,711,0.99,SG,0.42
101560,0,0,20,69,289,964,2396,7526,0,0,12,32,183,188,276,1350,0.5,CS,0.68
101570,0,0,0,0,15,130,159,221,0,0,0,0,8,90,123,131,2.79,CS,3.39
101574,0,0,3,10,10,12,26,186,0,0,3,5,5,5,5,32,0.79,CS,0.78
101575,0,0,0,5,5,17,92,684,0,0,0,3,3,9,73,80,1.01,CO,1.41
101576,1,8,21,70,142,2563,7032,14468,0,0,5,7,33,208,428,428,0.18,CS,0.53
101580,0,0,2,3,39,67,100,1314,0,0,1,1,39,60,69,288,0.93,CO,0.8
101581,1,5,10,28,85,91,96,158,0,0,4,9,45,56,56,56,0.18,CS,0.61
101585,8,23,82,187,340,1077,2615,6548,5,17,25,38,159,287,298,1244,0.02,SG,0.17
101586,0,0,5,29,216,674,795,948,0,0,3,22,152,377,434,439,0.58,CO,0.84
101590,2,7,18,59,247,633,1088,2076,3,3,8,31,191,567,941,1636,0.14,CS,0.06
101591,0,0,0,4,28,162,485,4446,0,0,0,6,25,67,146,199,1.59,SM,1.35
101598,7,29,93,359,1091,2947,4352,6944,1,13,32,90,428,675,999,1575,0.19,CS,0.2
